playlist_id	playlist_name	description	num_tracks	num_followers
37i9dQZF1DX9l01QzlK1Yo	This Is Satie	50 highlights from 50 symphonic masterpieces, including favourites selected by the <a href="spotify:artist:5yxyJsFanEAuwSM5kOuZKc">orchestra</a> themselves, from collaborations with principal and guest conductors across <a href="http://lso.co.uk/">LSO</a>'s century-long history, captured in state-of-the-art recording technology.	50	29100
37i9dQZF1DX16wERbfwQvR	This Is Ravel	Father of the symphony and string quartet, and teacher to both <a href="spotify:user:spotify:playlist:1tNvLjwgTtsZH8RlbK6Yib">Mozart</a> and <a href="spotify:user:spotify:playlist:4NPecrxm0zdPCIIzVTHUd9">Beethoven</a>. This is Haydn.	62	37495
37i9dQZF1DX12YIlzNkccL	This Is Ravel	Celebrate Beethoven's 250th birthday by exploring his greatest works in this essential playlist, featuring iconic recordings and special new releases.	84	399528
37i9dQZF1DX8qqIDAkKiQg	This Is Philip Glass	The essential works of Wolfgang Amadeus Mozart, featuring relaxing piano, soulful strings, a few magical operas, and plenty of legendary melodies.	61	609217
37i9dQZF1DX9ZP5oobcNgA	This Is Philip Glass	Explore the essential works of Handel, including his Messiah, dozens of operas, oratorios, anthems, and instrumental favourites.	60	63912
37i9dQZF1DWZnzwzLBft6A	This Is Vivaldi	He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.	70	405600
37i9dQZF1DX0FIO61wizta	This Is Vivaldi	Verdi was the undisputed king of Italian opera in the 19th century. Explore his greatest works, including Rigoletto and La Traviata, right here.	60	35000
37i9dQZF1DWXN6CDDJDZSt	This Is Liszt	An introduction to Giacomo Puccini, one of the great Italian opera composers.	68	33392
37i9dQZF1DX0VplLa7NC0a	This Is Liszt	The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.	60	13919
37i9dQZF1DX8hPJIYGSAc8	This Is Debussy	A 50-track introduction to Argentine nuevo tango composer Astor Piazzolla, featuring his own classic recordings, as well as interpretations by various <a href="http://open.spotify.com/genre/classical">classical</a> performers, including great Argentine pianists Argerich and Barenboim.	50	46371
37i9dQZF1DX5jgHoqkhgYj	This Is Debussy	A 50-track introduction to the best-known South American composer of all time Heitor Villa-Lobos, who successfully combined Brazilian folk melody and rhythmic elements with Western classical music.	50	10759
37i9dQZF1DX1uiBEEB5wRG	This Is Schubert	Piano arrangements that help you to discover new nuances and sonorities in orchestral and chamber music masterpieces. Similar playlists: <a href="spotify:user:spotify:playlist:37i9dQZF1DWT5I7N7jmTai">Liszt Transcriptions</a> & <a href="spotify:user:spotify:playlist:37i9dQZF1DWWQxllNWdnsR">Orchestral Transcriptions</a>.	50	28018
37i9dQZF1DWV0gynK7G6pD	This Is Schubert	Updated every Friday with the very best <a href="spotify:genre:classical">classical</a> new releases. Cover: Yiruma	50	566387
37i9dQZF1DWUfMnnPBigKP	This Is: Glenn Gould	50 outstanding pieces from the repertoire of <a href="https://en.wikipedia.org/wiki/Concert_band">concert band</a> (also called wind ensemble, symphonic band or wind symphony). From cornerstone works by Dvořák, Stravinsky, Grainger to new classics by John Corigliano, David Maslanka, Eric Whitacre, and many more. Also follow: <a href="spotify:user:spotify:playlist:73OZGA9KbKCzhNe7FcCp17">brass band playlist</a>.	50	17566
