id	name	popularity	genres	num_followers	monthly_listeners
7CQwac16i1W5ej8YpuL3dv	Boyce Avenue	74	['neo mellow', 'pop rock', 'viral pop']	2627466	4307626
1fux65HMCBvfJHqlBc4Nno	Casper Magico	76	['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']	1074777	9060405
5Kmr0b3ip8g9P2i0dLTC3Z	Disco Lines	51	[]	4374	363633
2MAu2oPXgklWH93ogCNEiy	Ldy	5	[]	5	0
1hrQ50kU6hMQBVLatqUqnO	Gentle Giant	44	['album rock', 'art rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'symphonic rock', 'zolo']	134644	101513
3zmmBJseZelpVEHj8S6Dek	The Pains Of Being Pure At Heart	38	['c86', 'chillwave', 'dream pop', 'indie pop', 'metropopolis', 'modern dream pop', 'noise pop', 'nu gaze', 'shoegaze']	69872	76347
7KVyxOo8YqvSzrpdVWW1wO	Thunderstorm Global Project from TraxLab	50	['sound']	263	70562
721T2PETMLaAkijbYu05VD	Junge Junge	55	['deep tropical house', 'tropical house']	19634	925314
3MttWEEoyq7W9MjHEBaKhG	Clément Leroux	48	['new french touch']	3058	345925
1nzgtKYFckznkcVMR3Gg4z	KSI	75	['uk hip hop']	1502840	5848833
3znhU4FKI4ymdNUNycldZl	gre gory	13	[]	90	1810
3Ke9ubVapReZsiJUiZ51sJ	John Paul Lakes	35	['pop catracho']	55	65552
6qiuwoB9ro3SX0ZjSXnr0y	Astron	50	['background music', 'focus']	5232	450074
2YdRnOqBXCl9g8xCLcGh8C	Mikhail Pletnev	59	['classical performance', 'russian classical piano']	10986	1020758
6Zd7AjXsoLaweP9FHyudVC	Caligula's Horse	46	['djent', 'progressive metal']	58643	102850
2lZ6o7yrgffZNMIFlvkbk6	Enzo Zirilli	31	[]	71	48566
2AbQwU2cuEGfD465wCXlg2	Rawayana	60	['latin alternative', 'reggae en espanol', 'venezuelan hip hop', 'venezuelan rock']	276421	1081493
1d7vtWAF7L4Dc1fnY4g2hD	The Bog Neck Brass Band	14	[]	20	0
2VCAUIEKX0BX7DWfA8qxPb	Henning Kraggerud	30	['violin']	1024	23601
78sJswwVn4P8aEhkF4K6fQ	Hyolyn	58	['k-pop', 'korean r&b']	473705	933946
46c81Sh94WgfqUYiI3DuSS	Via Fiori	28	[]	1099	2048
6Q39MHR4dKfsHjx92eU9HZ	Alican Özbuğutu	56	[]	45	695771
29f2mFV3WUYNmmrhHKV9rX	HAWK	38	['american metalcore']	7150	46147
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	55	['blues rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll']	186162	1013567
12nEr6QOfSKkiTXjEp8tBB	Koosen	76	['lo-fi cover']	33489	4457229
7CQwac16i1W5ej8YpuL3dv	Boyce Avenue	74	['neo mellow', 'pop rock', 'viral pop']	2627466	4307626
1fux65HMCBvfJHqlBc4Nno	Casper Magico	76	['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']	1074777	9060405
5Kmr0b3ip8g9P2i0dLTC3Z	Disco Lines	51	[]	4374	363633
2MAu2oPXgklWH93ogCNEiy	Ldy	5	[]	5	0
1hrQ50kU6hMQBVLatqUqnO	Gentle Giant	44	['album rock', 'art rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'symphonic rock', 'zolo']	134644	101513
3zmmBJseZelpVEHj8S6Dek	The Pains Of Being Pure At Heart	38	['c86', 'chillwave', 'dream pop', 'indie pop', 'metropopolis', 'modern dream pop', 'noise pop', 'nu gaze', 'shoegaze']	69872	76347
7KVyxOo8YqvSzrpdVWW1wO	Thunderstorm Global Project from TraxLab	50	['sound']	263	70562
721T2PETMLaAkijbYu05VD	Junge Junge	55	['deep tropical house', 'tropical house']	19634	925314
3MttWEEoyq7W9MjHEBaKhG	Clément Leroux	48	['new french touch']	3058	345925
